date,open,close,high,low,volume,amount
2024-06-18,14925,14915,15035,14885,283705,42452092160
2024-06-19,14890,15015,15040,14690,322211,47971280128
2024-06-20,15055,15085,15155,14985,293382,44204642816
2024-06-21,15100,14900,15160,14865,289707,43465910272
2024-06-24,14900,14905,15040,14850,316270,47306729472
2024-06-25,15100,15290,15490,15060,643707,98270126080
2024-06-26,15230,15100,15245,14940,355193,53462326528
2024-06-27,15150,14925,15180,14910,328842,49527496448
2024-06-28,14935,14955,15015,14830,286600,42839771648
2024-07-01,14955,15010,15035,14780,294088,43850668288
2024-07-02,15040,15145,15145,14965,262260,39460878592
2024-07-03,15180,15105,15180,14920,254289,38267429632
2024-07-04,15100,14910,15135,14910,272799,41043801856
2024-07-05,14870,14580,14935,14555,389048,57291997184
2024-07-08,14585,14610,14645,14515,234180,34125352192
2024-07-09,14615,14715,14740,14580,226628,33195808256
2024-07-10,14715,14625,14750,14555,281927,41301713664
2024-07-11,14660,14685,14775,14645,227208,33414828032
2024-07-12,14705,14590,14735,14545,255726,37440074496
2024-07-15,14590,14375,14615,14330,324917,46957789696
2024-07-16,14375,14465,14470,14345,160510,23132061952
2024-07-17,14435,14520,14615,14435,177894,25839633664
2024-07-18,14520,14615,14625,14425,188807,27410937856
2024-07-19,14580,14595,14660,14475,216515,31518644736
2024-07-22,14600,14550,14710,14475,250406,36567477760
2024-07-23,14525,14370,14550,14300,222602,32147091712
2024-07-24,14370,14545,14630,14365,230598,33477886976
2024-07-25,14560,14250,14560,14200,234261,33617579520
2024-07-26,14300,14365,14470,14265,177595,25555163136
2024-07-29,14345,14345,14450,14290,169970,24399854336
2024-07-30,14340,14135,14375,14090,229394,32628556544
2024-07-31,14155,14300,14330,13970,229491,32475352064
2024-08-01,14300,14260,14345,14220,127914,18260251648
2024-08-02,14260,14385,14415,14260,124249,17827201024
2024-08-05,14360,14355,14480,14285,112107,16122916864
2024-08-06,15530,15615,15725,15445,243694,37939570688
2024-08-07,15600,15700,15775,15575,240272,37694736384
2024-08-08,15750,15810,15965,15710,308294,48893302528
2024-08-09,15835,15925,16010,15815,271616,43252524800
2024-08-12,15890,15955,15980,15815,230039,36540559104
2024-08-13,15965,16005,16105,15905,337606,54067974144
2024-08-14,16030,15805,16030,15760,320793,50930635264
2024-08-15,15815,16025,16085,15750,450508,71750258688
2024-08-16,16030,16060,16185,15975,371900,59870295808
2024-08-19,16005,16155,16200,15885,376945,60544653312
2024-08-20,16170,16235,16260,16085,305233,49325518336
2024-08-21,16250,16290,16335,16205,270033,43939034368
2024-08-22,16300,16210,16320,16155,299052,48564124672
2024-08-23,16210,16350,16410,16160,378164,61678768640
2024-08-26,16400,16440,16455,16315,282836,46341222400
2024-08-27,16450,16500,16510,16315,291939,47941407488
2024-08-28,16530,16755,16800,16500,385117,64219988736
2024-08-29,16710,16640,16785,16575,316610,52948364288
2024-08-30,16600,16640,16730,16525,357681,59524775680
2024-09-02,16620,16360,16635,16320,413249,68095845632
2024-09-03,16345,16285,16410,16220,373024,60836465408
2024-09-04,16240,16075,16270,16065,360358,58183090688
2024-09-05,16105,16180,16295,16090,346297,56061831936
