date,open,close,high,low,volume,amount
2025-10-29,10750,10795,10845,10525,195650,10414361088
2025-10-30,10770,10800,10855,10690,125337,6750162944
2025-10-31,10755,10585,10795,10575,118284,6319278336
2025-11-03,10590,10360,10600,10295,149850,7829082624
2025-11-04,10355,10205,10375,10175,91690,4706590464
2025-11-05,10200,10235,10285,10055,83480,4246061472
2025-11-06,10185,10305,10320,10110,128144,6532800256
2025-11-07,10280,10190,10310,10170,106318,5442814464
2025-11-10,10170,10275,10295,10135,114254,5829450752
2025-11-11,10250,10240,10335,10220,89151,4580423168
2025-11-12,10250,10430,10480,10240,151513,7869504256
2025-11-13,10400,10480,10490,10365,99633,5193468928
2025-11-14,10540,10445,10550,10425,97263,5092208128
2025-11-17,10425,10455,10485,10315,114634,5968975616
2025-11-18,10475,10505,10655,10430,141146,7442295296
2025-11-19,10490,10705,10715,10490,120480,6383732224
2025-11-20,10650,10520,10665,10500,113304,6003678720
