symbol,event_date,group,close,ema10,ema20,diff_cur,dea_cur,hist_cur,weeks_since_cross,diff_drawdown,spy_pre8,fwd5,exc5,fwd10,exc10,fwd20,exc20,fwd60,exc60,broken5,broken10,broken20,broken60
xom,1996-06-14,C,8.222872734069824,8.253499737867227,8.09578695351367,0.22449407653955333,0.22780568430981785,-0.003311607770264513,999.0,0.3607847912377198,3.728838678403501,2.245443127923874,6.174246440319509,-0.24378626277167248,-0.6563090262737714,6.708970116698465,0.14235627921608263,53.54122742324068,10.795753670665256,0,0,0,0
xom,2023-10-20,B,100.65505981445312,100.800058124182,99.59425293284067,1.602362259132235,1.552466954211055,0.049895304921180106,10.0,0.5018280844237897,-3.930779301641496,-4.999802926690244,-13.09827182119161,-9.169730146000997,-22.476565786359835,-0.6234035166974183,-22.60983865643046,4.131285691113362,-41.261623109558144,1,1,1,1
shw,2013-02-22,C,46.37408828735352,46.900441492262075,45.42270720953543,2.1264726520311115,2.195134669370113,-0.06866201733900157,999.0,0.30246375974690587,8.469653306490589,6.993935602037671,3.3881911847373214,19.087689090343574,12.37382610304012,19.002386258297776,7.642025095630878,26.550502361292594,0.8062140909832713,0,0,0,0
blk,2012-04-27,C,134.3710174560547,136.49869403079288,132.64732059700643,5.1398135716859485,5.521571122149497,-0.38175755046354887,17.0,0.25018535844833645,2.6911644009413926,-13.47013146169962,-4.758712328740234,-10.20711801165074,-7.216916696310094,-3.2436462790332965,-8.666386487069245,34.258021591528355,17.819355752596522,1,1,1,1
blk,2021-11-19,C,814.6004638671875,818.7285006241962,800.2507161996355,27.527715748424157,28.351691288006723,-0.8239755395825661,999.0,0.46165082093773924,5.627274496298562,0.3481159808170098,-0.36916432228533136,-11.266479520266648,-5.85212490420941,-18.638242452242228,-14.724253337954607,-14.854132353454641,-1.5242817742986752,0,1,1,1
tmo,1991-11-29,C,9.79147243499756,9.84635355196179,9.587390239291125,0.3740448251086814,0.39699827250238956,-0.022953447393708137,48.0,0.40391118398034687,,12.576673283593198,,12.576673283593198,,5.214723179459635,,22.699343719450347,,0,0,1,1
tmo,2005-01-28,A,27.919321060180664,27.983824023448232,27.594513941188666,0.5370691625255404,0.5704464450774643,-0.03337728255192396,12.0,0.3100700585590118,-1.061038279971016,-7.007388081445498,-11.52070591617984,-16.07985235450904,-16.95994105181311,-8.76778661223213,-12.939140329320274,22.24103884711908,8.953649279451039,1,1,1,1
tmo,2008-06-20,B,54.39259338378906,54.41286800693833,53.78761247166744,0.7640573035885794,0.6076567973704554,0.15640050621812396,11.0,0.4894747616927826,-5.273542407794396,2.1720435506987545,6.8079994907764725,5.230234301996295,7.350605970943979,-34.43964565613731,-6.185591811211079,-21.68548840244252,-0.3518665162741996,1,1,1,1
tmo,2012-04-27,B,52.01953125,52.09714778432447,51.216743915377364,0.9635052047158936,0.8523048353811036,0.11120036933479005,10.0,0.2960857636052343,2.6911644009413926,-10.526298035405857,-1.8148789024464715,-6.09498344456334,-3.104782129222694,10.909582500281601,5.486842292245654,52.96312690076594,36.52446106183411,1,1,1,1
aapl,2008-07-03,B,5.0882248878479,5.169850751338562,5.002770153161547,0.21453540033825025,0.20486844521764552,0.009666955120604726,10.0,0.5381228941165457,-8.609234222568352,-0.3350082810246069,-2.757629329792055,-12.450025916565998,-12.27587562657022,-51.457761151690775,-14.778390131387212,-0.04111226722767203,15.904500045561399,1,1,1,1
aapl,2016-11-18,A,25.298364639282227,25.41133953668976,24.91095979404514,0.6343004797344562,0.6562456701137204,-0.021945190379264123,14.0,0.2952487449380953,1.1620815143747576,5.869524848742369,1.9608935479608514,10.8031896851156,5.39378994436468,30.80269359162564,22.05415891337077,63.49062537861998,33.05900772622308,0,0,0,0
msft,1999-07-30,C,26.044309616088867,26.69322871123533,25.72133714507291,1.3982449782573134,1.4059807919106309,-0.007735813653317436,999.0,0.4588345763604742,-0.051045017484696587,11.726173200634872,9.301462945378104,10.633701067008406,9.502207725012935,34.30447012494362,26.251226373314516,-26.29280763668591,-37.127226580214234,0,0,0,1
msft,1999-10-01,C,27.31048393249512,27.618812511345546,26.87733794615378,1.1190592587856258,1.2046446790780305,-0.08558542029240468,999.0,0.5668883584239761,-1.1846260915347129,1.7537518964024112,-5.568083020093795,4.323717212046252,-6.111704592762268,5.643326259297443,0.057588301705324696,-22.278170589652223,-28.279577275485778,0,1,1,1
gs,2011-02-04,A,124.38932037353516,124.97364787008499,122.62104482420023,3.0895544503492403,3.2423123473046584,-0.1527578969554182,15.0,0.25481596649924276,5.912365674977171,-2.3106905887938733,-2.0743146026675707,-5.684957338884056,-6.800954725905006,-20.205113396704867,-17.79738851939371,-23.43734714216924,-33.53587663431635,0,1,1,1
gs,2023-01-06,C,319.7200622558594,322.1449168239453,315.889188726885,7.80584808663383,8.05849892023568,-0.2526508336018498,9.0,0.3973247629708939,-2.1700787842499736,6.665157269251898,1.5218904731272076,-12.171482945734136,-13.047199633350303,-3.9337429260120738,-12.577080284759344,15.846315216969042,-18.312787213312955,0,1,1,1
gs,2023-03-03,C,330.3445739746094,331.4292648217755,325.6312631817992,7.8359108893698135,8.159234542441856,-0.3233236530720429,17.0,0.3950036690213855,4.151212246118474,-9.714634017233315,-11.338063889293682,-10.52676505309924,-12.746238488992212,-0.6861325237550897,-13.40338414101403,23.523208105587102,-4.5324449472173605,1,1,1,1
