date,open,high,low,close,volume,position
2019-12-20,546.250,549.000,538.750,542.500,0,0
2019-12-23,545.250,547.000,538.750,539.750,0,0
2019-12-24,541.750,545.000,538.500,541.250,0,0
2019-12-26,540.750,552.000,540.250,550.250,0,0
2019-12-27,555.250,561.000,549.250,557.250,0,0
2019-12-30,563.500,564.500,551.500,555.250,0,0
2019-12-31,558.000,559.750,553.000,559.250,0,0
2020-01-02,559.500,567.500,558.250,559.500,0,0
2020-01-03,556.250,562.000,551.750,555.000,0,0
2020-01-06,554.000,554.500,546.750,550.750,0,0
2020-01-07,547.500,551.000,545.500,550.500,0,0
2020-01-08,550.750,555.750,545.250,553.250,0,0
2020-01-09,556.000,564.000,552.750,562.500,0,0
2020-01-10,563.500,568.500,555.750,563.750,0,0
2020-01-13,562.500,565.750,558.500,561.000,0,0
2020-01-14,568.750,573.000,559.250,568.750,0,0
2020-01-15,571.500,578.750,568.250,573.750,0,0
2020-01-16,564.500,573.500,560.000,565.000,0,0
2020-01-17,566.750,572.500,564.250,570.750,0,0
2020-01-21,571.000,582.750,566.750,582.250,0,0
2020-01-22,589.000,592.500,574.500,577.250,0,0
2020-01-23,577.250,583.000,575.250,579.250,0,0
2020-01-24,574.250,581.750,569.500,571.750,0,0
2020-01-27,563.250,573.250,559.500,573.000,0,0
2020-01-28,569.750,576.500,565.500,568.750,0,0
2020-01-29,562.500,573.250,561.000,561.500,0,0
2020-01-30,554.750,562.500,550.750,560.250,0,0
2020-01-31,560.500,566.000,552.750,553.250,0,0
2020-02-03,550.500,558.000,546.500,553.750,0,0
2020-02-04,562.500,564.250,553.500,557.500,0,0
2020-02-05,560.750,563.750,555.500,561.250,0,0
2020-02-06,559.500,565.500,555.750,556.250,0,0
2020-02-07,556.750,563.000,553.250,558.750,0,0
2020-02-10,557.500,560.750,551.000,551.000,0,0
2020-02-11,549.750,551.750,539.000,541.000,0,0
2020-02-12,542.750,549.000,538.250,547.250,0,0
2020-02-13,547.500,550.500,540.750,544.500,0,0
2020-02-14,547.500,549.500,542.000,544.500,0,0
2020-02-18,553.000,570.750,548.000,566.750,0,0
2020-02-19,561.000,564.000,551.500,562.750,0,0
2020-02-20,562.000,564.750,556.500,559.000,0,0
2020-02-21,563.750,568.250,551.000,552.500,0,0
2020-02-24,541.750,551.500,532.500,536.000,0,0
2020-02-25,530.750,539.500,528.500,538.500,0,0
2020-02-26,536.750,540.000,532.750,535.500,0,0
2020-02-27,530.000,534.750,526.250,526.250,0,0
2020-02-28,522.000,526.500,512.500,525.000,0,0
2020-03-02,520.250,528.500,516.250,524.000,0,0
2020-03-03,524.750,534.000,521.000,527.750,0,0
2020-03-04,522.500,526.250,516.750,518.250,0,0
2020-03-05,518.000,523.750,514.500,517.750,0,0
2020-03-06,514.750,520.750,510.000,513.250,0,0
2020-03-09,508.000,522.500,505.750,520.500,0,0
2020-03-10,522.500,525.000,514.000,521.500,0,0
2020-03-11,518.500,524.750,511.750,512.000,0,0
2020-03-12,502.750,510.750,497.250,505.250,0,0
2020-03-13,507.250,513.750,499.500,505.250,0,0
2020-03-16,497.000,507.250,491.750,497.750,0,0
2020-03-17,499.250,506.500,494.500,498.500,0,0
2020-03-18,501.000,512.000,494.500,506.500,0,0
2020-03-19,517.750,540.500,508.500,534.250,0,0
2020-03-20,543.750,547.000,533.000,540.000,0,0
2020-03-23,556.250,563.250,537.250,561.500,0,0
2020-03-24,552.250,562.500,549.750,560.500,0,0
2020-03-25,566.750,583.250,556.750,579.750,0,0
2020-03-26,580.000,583.000,564.500,568.500,0,0
2020-03-27,580.250,587.000,563.500,572.750,0,0
2020-03-30,574.250,580.750,562.750,569.500,0,0
2020-03-31,568.000,575.250,564.250,568.000,0,0
2020-04-01,560.250,571.750,546.500,551.000,0,0
2020-04-02,543.000,553.250,538.250,543.750,0,0
2020-04-03,554.750,556.500,541.750,550.750,0,0
2020-04-06,560.500,561.750,549.750,555.250,0,0
2020-04-07,548.000,555.750,545.250,549.500,0,0
2020-04-08,554.000,554.500,545.000,549.250,0,0
2020-04-09,553.750,558.750,546.750,558.250,0,0
2020-04-13,563.000,564.500,552.500,554.750,0,0
2020-04-14,555.750,556.750,550.500,550.750,0,0
2020-04-15,538.250,550.000,531.500,540.250,0,0
2020-04-16,539.000,544.250,529.000,529.000,0,0
2020-04-17,528.500,535.750,525.000,535.000,0,0
2020-04-20,549.750,561.500,535.500,546.000,0,0
2020-04-21,547.250,554.750,540.500,546.750,0,0
2020-04-22,546.000,548.750,537.250,543.750,0,0
2020-04-23,548.750,552.000,539.000,546.000,0,0
2020-04-24,543.500,549.500,529.000,532.750,0,0
2020-04-27,532.500,533.000,521.250,523.750,0,0
2020-04-28,526.750,531.750,520.250,526.250,0,0
2020-04-29,526.000,526.250,510.500,516.000,0,0
2020-04-30,516.500,525.250,506.750,523.500,0,0
2020-05-01,522.500,522.750,513.750,515.500,0,0
2020-05-04,510.000,521.250,505.750,520.750,0,0
2020-05-05,518.000,522.750,512.250,519.250,0,0
2020-05-06,520.000,521.750,513.000,516.250,0,0
2020-05-07,517.250,527.000,516.500,521.000,0,0
2020-05-08,519.000,525.000,517.000,522.500,0,0
2020-05-11,524.000,528.000,516.250,516.500,0,0
2020-05-12,518.000,518.250,507.750,514.000,0,0
2020-05-13,514.250,514.250,500.250,501.500,0,0
2020-05-14,500.000,506.000,496.750,502.000,0,0
2020-05-15,502.500,508.000,497.500,499.500,0,0
2020-05-18,496.500,502.750,493.750,497.500,0,0
2020-05-19,496.750,501.500,496.250,498.750,0,0
2020-05-20,499.500,500.000,497.000,497.000,0,0
2020-05-21,515.000,524.000,512.000,515.500,0,0
2020-05-22,515.000,516.250,503.250,508.500,0,0
2020-05-26,504.250,512.250,504.250,507.750,0,0
2020-05-27,507.750,511.750,501.250,504.750,0,0
2020-05-28,505.250,518.750,503.750,514.250,0,0
2020-05-29,513.500,522.250,511.750,521.500,0,0
2020-06-01,520.000,520.750,511.500,515.250,0,0
2020-06-02,517.000,517.250,506.750,509.000,0,0
2020-06-03,509.750,515.500,506.500,512.250,0,0
2020-06-04,512.250,529.000,512.000,524.500,0,0
2020-06-05,526.750,527.750,513.250,515.250,0,0
2020-06-08,517.000,517.750,508.500,511.750,0,0
2020-06-09,512.000,514.000,500.750,503.750,0,0
2020-06-10,505.000,509.250,502.500,507.000,0,0
2020-06-11,508.750,509.000,498.500,499.000,0,0
2020-06-12,499.000,504.750,495.250,501.250,0,0
2020-06-15,499.750,505.500,497.500,504.250,0,0
2020-06-16,506.500,507.250,491.000,495.500,0,0
2020-06-17,494.500,495.750,487.250,488.500,0,0
2020-06-18,488.500,492.000,480.500,483.000,0,0
2020-06-19,487.250,490.500,481.000,485.500,0,0
2020-06-22,484.500,490.500,481.750,490.000,0,0
2020-06-23,489.500,493.250,483.750,490.750,0,0
2020-06-24,491.250,492.500,484.500,485.000,0,0
2020-06-25,483.250,491.750,483.250,487.000,0,0
2020-06-26,488.000,489.000,471.000,475.250,0,0
2020-06-29,475.250,491.500,475.000,486.250,0,0
2020-06-30,486.000,498.750,481.250,492.000,0,0
2020-07-01,492.000,499.750,489.000,498.750,0,0
2020-07-02,498.250,499.250,488.500,491.750,0,0
2020-07-06,494.000,496.500,487.750,493.500,0,0
2020-07-07,494.250,500.000,489.750,495.500,0,0
2020-07-08,495.500,517.500,494.750,517.000,0,0
2020-07-09,516.500,531.250,515.750,523.750,0,0
2020-07-10,524.000,539.000,520.500,534.500,0,0
2020-07-13,528.000,535.500,522.250,524.000,0,0
2020-07-14,523.750,533.500,522.750,527.000,0,0
2020-07-15,527.000,551.750,526.750,551.250,0,0
2020-07-16,550.000,551.500,534.000,535.250,0,0
2020-07-17,535.750,540.000,530.750,535.000,0,0
2020-07-20,535.000,535.250,517.000,521.500,0,0
2020-07-21,524.750,531.500,518.500,527.250,0,0
2020-07-22,530.250,540.250,523.750,534.000,0,0
2020-07-23,532.750,536.000,527.000,530.000,0,0
2020-07-24,535.000,544.000,530.000,539.750,0,0
2020-07-27,532.500,539.000,526.250,526.500,0,0
2020-07-28,526.000,529.750,519.250,523.500,0,0
2020-07-29,528.500,533.250,523.500,532.750,0,0
2020-07-30,531.750,534.500,525.000,528.750,0,0
2020-07-31,528.500,535.250,528.500,530.750,0,0
2020-08-03,525.000,528.250,517.000,520.250,0,0
2020-08-04,516.250,521.250,507.750,508.000,0,0
2020-08-05,511.000,512.750,506.000,510.250,0,0
2020-08-06,513.000,515.000,500.750,502.500,0,0
2020-08-07,500.000,503.750,490.500,496.000,0,0
2020-08-10,495.250,497.250,490.000,491.000,0,0
2020-08-11,491.000,498.750,490.500,494.750,0,0
2020-08-12,495.750,498.000,488.000,490.500,0,0
2020-08-13,490.000,500.750,489.000,495.500,0,0
2020-08-14,495.500,507.750,493.500,500.000,0,0
2020-08-17,509.500,527.000,509.500,526.250,0,0
2020-08-18,526.000,526.500,512.750,517.750,0,0
2020-08-19,517.000,524.000,515.750,521.500,0,0
2020-08-20,522.000,529.250,515.750,528.250,0,0
2020-08-21,529.000,535.500,523.750,534.500,0,0
2020-08-24,535.750,540.750,524.000,527.000,0,0
2020-08-25,530.000,542.000,528.000,535.500,0,0
2020-08-26,534.000,540.500,531.500,539.750,0,0
2020-08-27,544.750,552.250,538.750,551.750,0,0
2020-08-28,551.250,555.500,547.500,548.500,0,0
2020-08-31,548.750,560.250,547.250,551.250,0,0
2020-09-01,550.000,568.500,548.250,564.000,0,0
2020-09-02,561.500,565.750,554.750,558.250,0,0
2020-09-03,557.750,561.000,550.500,553.500,0,0
2020-09-04,554.500,556.250,546.500,551.250,0,0
2020-09-08,549.000,551.000,542.500,544.750,0,0
2020-09-09,544.500,549.500,541.500,543.500,0,0
2020-09-10,543.750,556.750,542.750,548.500,0,0
2020-09-11,548.250,552.250,539.750,542.500,0,0
2020-09-14,542.500,547.750,539.750,546.500,0,0
2020-09-15,546.000,547.000,533.750,538.000,0,0
2020-09-16,535.500,543.000,533.250,542.000,0,0
2020-09-17,540.250,557.250,537.250,556.500,0,0
2020-09-18,558.500,578.000,555.500,577.000,0,0
2020-09-21,576.500,578.250,550.500,553.500,0,0
2020-09-22,553.500,567.000,550.250,558.750,0,0
2020-09-23,558.500,560.250,547.250,548.250,0,0
2020-09-24,542.000,554.250,541.000,551.000,0,0
2020-09-25,552.250,552.500,543.750,544.000,0,0
2020-09-28,545.250,551.750,537.750,549.500,0,0
2020-09-29,551.000,553.250,546.000,549.000,0,0
2020-09-30,555.500,587.000,547.000,578.000,0,0
2020-10-01,574.000,584.000,568.500,569.750,0,0
2020-10-02,565.250,576.500,561.250,573.000,0,0
2020-10-05,574.500,587.750,573.000,584.250,0,0
2020-10-06,585.000,601.750,579.750,590.250,0,0
2020-10-07,591.250,611.500,588.500,608.250,0,0
2020-10-08,614.500,616.750,593.250,595.750,0,0
2020-10-09,600.750,606.750,588.750,592.250,0,0
2020-10-12,592.250,599.000,587.000,596.250,0,0
2020-10-13,598.750,604.250,590.750,594.250,0,0
2020-10-14,590.750,600.250,587.250,596.750,0,0
2020-10-15,597.250,619.500,596.500,619.250,0,0
2020-10-16,628.500,630.750,615.500,626.250,0,0
2020-10-19,634.500,636.750,620.250,626.250,0,0
2020-10-20,630.500,638.250,623.500,633.250,0,0
2020-10-21,632.500,637.500,628.750,629.250,0,0
2020-10-22,623.750,632.250,621.250,621.500,0,0
2020-10-23,623.000,635.500,619.500,634.000,0,0
2020-10-26,623.000,633.000,616.000,619.500,0,0
2020-10-27,622.000,627.000,614.750,615.250,0,0
2020-10-28,614.500,614.500,601.250,610.500,0,0
2020-10-29,602.000,611.250,598.500,603.750,0,0
