sector,ticker,pair,date,t,entry,entry_reason,days_into_window,etf_depth_pct,ema_state,support_level,support_band_lo,support_band_hi,support_age,support_touches,n_levels,lower_shadow,stk_vol_ratio,stk_ret_day,rs5,vix,spy_above_ma100,etf_t_index,fwd1,fwd5,fwd10,fwd20,support_broken_day,cls
XLE,CVX,XLE/CVX,2011-08-08,4180,48.737,连续3日低于EMA20,4,-15.48,EMA10<EMA20,48.321,47.485,49.157,142,分形支撑(2触),2,0.08,2.38,-7.54,4.06,48.0,False,3176,3.49,9.81,4.21,6.79,,V型反转
XLE,CVX,XLE/CVX,2011-09-22,4212,49.084,连续3日低于EMA20,1,-9.39,EMA10<EMA20,47.929,46.746,49.111,174,分形支撑(3触),1,0.54,1.55,-4.35,2.59,41.3,False,3208,-0.18,4.68,4.92,14.66,,V型反转
XLE,CVX,XLE/CVX,2012-04-05,4347,57.912,死叉,10,-2.58,EMA10<EMA20,57.085,56.379,57.79,54,分形支撑(2触),1,0.27,0.91,-0.8,-1.02,16.7,True,3343,-1.2,-3.79,-2.13,-0.98,2.0,支撑击穿
XLE,CVX,XLE/CVX,2012-04-10,4349,56.087,死叉,12,-4.87,EMA10<EMA20,56.017,55.326,56.708,186,分形支撑(2触),1,0.03,1.33,-1.97,-0.51,20.4,True,3345,-0.49,2.14,1.56,1.37,,V型反转
XLE,CVX,XLE/CVX,2012-04-11,4350,55.811,死叉,13,-4.41,EMA10<EMA20,55.041,54.35,55.732,244,分形支撑(2触),1,0.1,1.27,-0.49,-0.82,20.0,True,3346,1.62,2.42,2.87,0.82,,V型反转
XLE,CVX,XLE/CVX,2012-05-08,4369,56.856,死叉,2,-2.81,EMA10<EMA20,55.845,55.158,56.532,206,分形支撑(4触),1,0.72,1.35,-0.45,1.05,19.0,True,3365,-1.03,-1.89,-2.55,-2.08,8.0,支撑击穿
XLE,CVX,XLE/CVX,2012-05-18,4377,54.924,死叉,10,-5.26,EMA10<EMA20,54.679,53.992,55.366,134,分形支撑(2触),1,0.09,1.57,-1.68,1.79,25.1,False,3373,1.25,0.41,-1.91,5.08,9.0,支撑击穿
XLE,CVX,XLE/CVX,2012-05-23,4380,55.226,死叉,13,-2.17,EMA10<EMA20,53.624,52.935,54.313,241,分形支撑(1触),1,0.71,1.09,-0.32,-2.24,22.3,False,3376,1.07,-0.7,1.4,1.03,,横盘消化
XLE,CVX,XLE/CVX,2012-11-02,4492,60.936,死叉,6,-2.23,EMA10<EMA20,60.508,59.877,61.139,60,分形支撑(1触),1,0.22,1.33,-2.77,-1.02,17.6,True,3488,0.76,-2.33,-4.69,-2.59,4.0,支撑击穿
XLE,CVX,XLE/CVX,2012-11-14,4500,58.133,连续3日低于EMA20,3,-3.71,EMA10<EMA20,58.109,57.478,58.741,159,分形支撑(3触),1,0.1,1.46,-1.8,-0.61,17.9,False,3496,-0.86,1.56,3.21,5.28,,V型反转
XLE,CVX,XLE/CVX,2012-11-15,4501,57.634,连续3日低于EMA20,4,-3.25,EMA10<EMA20,57.263,56.631,57.894,208,分形支撑(3触),1,0.34,1.59,-0.86,-1.86,18.0,False,3497,0.77,3.79,4.01,6.1,,V型反转
XLE,CVX,XLE/CVX,2013-04-17,4604,65.621,死叉,2,-4.35,EMA10<EMA20,65.013,64.427,65.6,138,分形支撑(5触),1,0.3,1.4,-1.88,2.07,16.5,True,3600,0.68,3.02,4.76,8.01,,V型反转
XLE,CVX,XLE/CVX,2013-06-24,4651,67.308,死叉,2,-3.34,EMA10<EMA20,66.398,65.719,67.078,52,分形支撑(1触),1,0.4,1.07,-1.77,0.91,20.1,True,3647,0.54,1.93,5.52,8.94,,V型反转
XLE,CVX,XLE/CVX,2013-10-09,4726,67.464,死叉,1,-1.46,EMA10<EMA20,66.623,65.948,67.298,127,分形支撑(2触),1,0.55,1.49,-0.51,-1.79,19.6,True,3722,0.22,2.61,3.44,4.31,,V型反转
XLE,CVX,XLE/CVX,2014-01-13,4791,69.858,连续3日低于EMA20,0,-1.84,EMA10>=EMA20,69.337,68.706,69.969,167,分形支撑(6触),1,0.13,1.19,-1.45,-1.69,13.3,True,3787,0.27,0.93,-2.02,-4.75,8.0,支撑击穿
XLE,CVX,XLE/CVX,2014-01-31,4804,65.394,连续3日低于EMA20,4,-2.45,EMA10<EMA20,65.023,64.381,65.666,247,分形支撑(4触),1,0.19,2.45,-4.14,-2.88,18.4,True,3800,-0.44,0.38,2.56,3.79,3.0,支撑击穿
XLE,CVX,XLE/CVX,2014-09-12,4959,73.734,死叉,5,-2.94,EMA10<EMA20,72.862,72.232,73.491,94,分形支撑(4触),1,0.31,1.1,-0.94,-0.09,13.3,True,3955,1.29,1.74,-0.97,-7.15,,横盘消化
XLE,CVX,XLE/CVX,2014-09-24,4967,73.578,死叉,13,-2.34,EMA10<EMA20,72.964,72.311,73.617,102,分形支撑(5触),1,0.7,1.43,-0.54,0.4,13.3,True,3963,-1.41,-3.88,-3.64,-6.86,4.0,支撑击穿
XLE,CVX,XLE/CVX,2014-09-29,4970,72.466,死叉,16,-2.04,EMA10<EMA20,70.986,70.307,71.664,206,分形支撑(2触),1,0.88,1.12,-0.76,-1.69,16.0,True,3966,-1.02,-2.04,-7.07,-4.59,6.0,支撑击穿
XLE,CVX,XLE/CVX,2014-10-02,4973,70.398,死叉,19,-4.54,EMA10<EMA20,69.151,68.454,69.848,219,分形支撑(4触),1,0.55,1.23,-0.46,-0.21,16.2,False,3969,0.51,-2.22,-5.17,0.08,7.0,支撑击穿
XLE,CVX,XLE/CVX,2014-10-09,4978,68.835,死叉,24,-6.24,EMA10<EMA20,67.969,67.255,68.683,232,分形支撑(1触),1,0.1,1.65,-2.92,1.82,18.8,False,3974,-0.54,-3.01,1.47,3.51,3.0,支撑击穿
XLE,CVX,XLE/CVX,2014-10-15,4982,65.685,死叉,28,-7.75,EMA10<EMA20,64.011,63.284,64.739,172,分形支撑(1触),1,0.67,1.89,-0.46,1.06,25.3,False,3978,1.64,4.33,7.2,7.67,,V型反转
XLE,CVX,XLE/CVX,2014-12-08,5019,64.796,死叉,6,-7.46,EMA10<EMA20,64.061,63.097,65.025,209,分形支撑(2触),1,0.11,1.84,-3.67,-0.58,14.2,True,4015,0.2,-5.56,4.9,1.07,4.0,支撑击穿
XLE,CVX,XLE/CVX,2015-05-20,5131,65.125,连续3日低于EMA20,5,-1.24,EMA10<EMA20,63.998,63.113,64.883,146,分形支撑(4触),1,0.43,1.0,0.22,-0.5,12.9,True,4127,0.23,-1.91,-3.67,-4.75,10.0,支撑击穿
XLE,CVX,XLE/CVX,2015-06-04,5141,62.737,连续3日低于EMA20,15,-2.78,EMA10<EMA20,61.725,60.87,62.58,94,分形支撑(2触),1,0.29,1.1,-0.76,-0.07,14.7,True,4137,0.2,-0.27,-1.12,-5.44,,横盘消化
XLE,CVX,XLE/CVX,2015-06-16,5149,61.901,连续3日低于EMA20,23,-1.13,EMA10<EMA20,60.376,59.567,61.184,121,分形支撑(2触),1,0.24,1.35,0.76,-0.57,14.8,True,4145,-0.28,0.05,-3.57,-5.8,,横盘消化
XLE,CVX,XLE/CVX,2015-06-26,5157,61.01,连续3日低于EMA20,31,-1.21,EMA10<EMA20,59.99,59.239,60.742,99,分形支撑(1触),1,0.49,1.43,0.26,-1.1,14.0,True,4153,-1.94,-3.88,-4.06,-9.59,5.0,支撑击穿
XLE,CVX,XLE/CVX,2016-01-04,5288,56.35,死叉,21,-1.88,EMA10<EMA20,54.468,53.343,55.593,108,分形支撑(6触),1,0.5,0.94,-1.23,-1.41,20.7,False,4284,0.86,-9.09,-8.26,-8.57,3.0,支撑击穿
XLE,CVX,XLE/CVX,2016-01-08,5292,52.088,死叉,25,-6.92,EMA10<EMA20,51.289,50.162,52.417,104,分形支撑(1触),1,0.35,1.01,-1.07,-1.62,27.0,False,4288,-1.66,1.88,-1.51,4.7,7.0,支撑击穿
XLE,CVX,XLE/CVX,2016-01-20,5299,50.09,死叉,32,-9.25,EMA10<EMA20,46.807,45.648,47.966,87,分形支撑(2触),1,0.73,2.16,-3.1,1.98,27.6,False,4295,2.62,5.46,7.14,11.21,,V型反转
XLE,CVX,XLE/CVX,2016-07-29,5432,66.514,死叉,2,-0.54,EMA10<EMA20,64.2,63.383,65.018,54,分形支撑(5触),1,0.24,1.51,0.68,-1.63,11.9,True,4428,-3.29,-1.92,-0.31,-0.09,,横盘消化
XLE,CVX,XLE/CVX,2017-03-14,5588,71.802,连续3日低于EMA20,6,-2.92,EMA10<EMA20,71.81,71.052,72.568,68,分形支撑(1触),1,0.17,1.41,-1.82,-0.79,12.3,True,4584,1.42,0.63,-0.18,1.5,,V型反转
XLE,CVX,XLE/CVX,2017-04-19,5613,69.708,死叉,2,-2.78,EMA10<EMA20,69.255,68.507,70.003,103,分形支撑(1触),1,0.17,1.18,-1.37,0.02,14.9,True,4609,0.62,1.77,2.39,1.47,,V型反转
XLE,CVX,XLE/CVX,2017-05-18,5634,71.053,连续3日低于EMA20,0,-0.99,EMA10<EMA20,69.587,68.843,70.33,124,分形支撑(4触),1,0.39,1.01,0.45,1.1,14.7,True,4630,1.28,-0.06,-1.96,3.02,,横盘消化
